num_image,nom_produit,description,origine,vente,type_produit,,
95,Pils bouteille 60cl ,"Bière blonde et limpide en bouteille 60cl, issue de la fermentation du maïs. Elle contient 5,1% d'alcool, se boit frais  entre 10 et 12 degrés.",Togo,a l'unité,Boisson,,
96,,,,,,,
97,Cocktail de fruits Canette 33cl,"Le Cocktail de fruits est une boisson rafraichissante et sucrée qui
accompagnera vos apéro ou diners entre amis.",Togo,à l'unité,Autres,,
98,Pils Bouteille 60 cl,"Bière blonde et limpide en Bouteille, issue de la fermentation du maïs. Elle contient 5,1% d'alcool, se boit frais  entre 10 et 12 degrés.",TOGO,à l'unité,Boissons,,
99,Malta canette 33cl,"Boissons maltée, canette 33cl, riche en vitamines et très nourrissante. Elle est issue de la fermentation du malt torifié, elle a un fort apport énergetique, s'utilise lors ou après les activités intenses. Elle se boit frais entre 5 et 12 degrés.",TOGO,à l'unité,Boissons,,
100,Guinness Canette 33cl,"Bière brune en canette 33cl,  issue de la fermentation de malt d'orge, sa mousse blanche épaisse est gonflée à l’azote, avec des arômes fortement amers et caramélisés. Elle contient 5 - 8% d'alcool, se boit frais  entre 5 et 12 degrés.",IRLANDE,à l'unité,Boissons,,
101,Youki Pom-Pom canette 33cl,"Boissons en canette 33cl, c'est un mélange de bonheur et de fun attitude. Elle change votre humeur et la vie devient plus belle. Elle se boit très frais entre 5 et 12 degrés entre amis, car le bonheur se partage.",TOGO,à l'unité,Boissons,,
102,33 Export Canette 33cl,"Bière blonde moyen-dorée en canette 33cl,  issue de la fermentation du malt. Elle a une robe limpide,un nez frais, à la fois sec et moelleux, sur les malts clairs Elle contient 5 - 10% d'alcool. Température idéale de dégustation entre 4 et 7°.",AFRIQUE DE L'OUEST,à l'unité,Boissons,,
103,Castel Beer Canette 33cl,"Bière blonde et ambrée en canette 33cl, issue de la fermentation du malt et du maïs. Elle a une robe jaune et une mousse ontueuse. Elle contient 5,7% d'alcool, se boit frais  entre 8 et 12 degrés.",AFRIQUE DE L'OUEST/AFRIQUE CENTRALE/ MADAGASCAR,à l'unité,Boissons,,
104,Flag  Cannette 33 cl,"Bière blonde cuivrée en canette 33cl, issue de la fermentation du malt et du houblon. Elle a une robe jaune et une mousse blanche crémeuse. Elle contient 5 - 10% d'alcool. Température idéale de dégustation entre 5 et 7°. En bouche elle est un peu sèche avec un final d'amertume.",Togo,à l'unité,Boissons,,
